"","Chromosome","Start","End","Score","Strand","Phase","gene_short_name","Note","Cluster"
"10480","chr2",31250170,31258536,".","-",".","Medtr2g073650","LRR receptor-like kinase","cluster3"
"10499","chr2",31381041,31389290,".","-",".","Medtr2g075010","LRR receptor-like kinase","cluster3"
"10526","chr2",31574361,31575092,".","-",".","Medtr2g075480","hypothetical protein","cluster3"
"10530","chr2",31601836,31602488,".","+",".","Medtr2g075530","hypothetical protein","cluster3"
"10531","chr2",31604357,31606018,".","-",".","Medtr2g075540","transmembrane protein putative","cluster3"
"10532","chr2",31608041,31609483,".","-",".","Medtr2g075550","hypothetical protein","cluster3"
"10533","chr2",31612734,31614426,".","-",".","Medtr2g075570","hypothetical protein","cluster3"
"10534","chr2",31618596,31619613,".","-",".","Medtr2g075590","transmembrane protein putative","cluster3"
"10540","chr2",31648412,31650755,".","+",".","Medtr2g075680","cysteine-tRNA ligase","cluster3"
"10542","chr2",31658410,31663226,".","-",".","Medtr2g075700","WRKY DNA-binding domain protein","cluster3"
"10571","chr2",31855194,31858191,".","+",".","Medtr2g076070","pathogenesis-like protein","cluster3"
"10597","chr2",32030843,32032739,".","+",".","Medtr2g076490","epidermis-specific secreted EP1-like glycoprotein","cluster3"
"10601","chr2",32063871,32065553,".","+",".","Medtr2g076590","epidermis-specific secreted EP1-like glycoprotein","cluster3"
"10813","chr2",33878075,33879944,".","-",".","Medtr2g080260","root cap/late embryogenesis-like protein","cluster3"
"10832","chr2",34017119,34017726,".","-",".","Medtr2g081130","hypothetical protein","cluster3"
"10860","chr2",34215985,34220258,".","+",".","Medtr2g081520","S-locus lectin kinase family protein","cluster3"
"10953","chr2",34969399,34971962,".","-",".","Medtr2g083300","hypothetical protein","cluster3"
"10997","chr2",35228046,35231037,".","-",".","Medtr2g083930","papain family cysteine protease","cluster3"
"11044","chr2",35556907,35557675,".","+",".","Medtr2g084405","FAD-binding berberine family protein","cluster3"
"11047","chr2",35572472,35580107,".","-",".","Medtr2g084425","RING/FYVE/PHD zinc finger protein","cluster3"
"11135","chr2",36290931,36293883,".","+",".","Medtr2g086290","alpha/beta fold hydrolase","cluster3"
"11136","chr2",36294982,36297620,".","+",".","Medtr2g086300","alpha/beta hydrolase family protein","cluster3"
"11181","chr2",36539693,36540589,".","+",".","Medtr2g086870","hypothetical protein","cluster3"
"11248","chr2",37051328,37055016,".","+",".","Medtr2g088000","WRKY1b transcription factor","cluster3"
"11288","chr2",37345172,37346774,".","+",".","Medtr2g088590","hypothetical protein","cluster3"
"11304","chr2",37490665,37495477,".","+",".","Medtr2g088900","zinc finger constans-like protein","cluster3"
"11306","chr2",37510508,37511248,".","-",".","Medtr2g088930","cysteine-rich RLK (receptor-like kinase) protein","cluster3"
"11312","chr2",37530524,37531686,".","+",".","Medtr2g088980","cysteine-rich RLK (receptor-like kinase) protein","cluster3"
"11324","chr2",37615391,37620144,".","+",".","Medtr2g089120","sesquiterpene synthase","cluster3"
"11434","chr2",38351961,38354290,".","+",".","Medtr2g090250","lectin receptor kinase","cluster3"
"11440","chr2",38379614,38382827,".","+",".","Medtr2g090285","hypothetical protein","cluster3"
"11483","chr2",38769746,38773158,".","+",".","Medtr2g090615","tyrosine/nicotianamine family aminotransferase","cluster3"
"11484","chr2",38774000,38777144,".","+",".","Medtr2g090620","reticulon-like protein B2","cluster3"
"11497","chr2",38851561,38852521,".","+",".","Medtr2g090695","transmembrane protein putative","cluster3"
"11509","chr2",38918307,38919962,".","-",".","Medtr2g090765","fasciclin-like arabinogalactan protein","cluster3"
"11537","chr2",39075847,39078457,".","-",".","Medtr2g090960","TCP family transcription factor","cluster3"
"11568","chr2",39331127,39333518,".","-",".","Medtr2g091190","transcription factor bHLH107-like protein","cluster3"
"11574","chr2",39349641,39354060,".","-",".","Medtr2g091220","riboflavin kinase/fmn hydrolase","cluster3"
"11641","chr2",39979874,39984806,".","-",".","Medtr2g093740","auxin response factor-like protein","cluster3"
"11698","chr2",40460901,40466313,".","-",".","Medtr2g094790","lysine decarboxylase family protein","cluster3"
"11766","chr2",40954105,40966668,".","+",".","Medtr2g095980","phototropin-2 protein","cluster3"
"11826","chr2",41402050,41405811,".","+",".","Medtr2g096870","GTP-binding protein Obg/CgtA protein","cluster3"
"11906","chr2",41902448,41906863,".","-",".","Medtr2g098070","ADP/ATP carrier protein","cluster3"
"11979","chr2",42508885,42512581,".","-",".","Medtr2g099140","transmembrane protein putative","cluster3"
"11996","chr2",42638323,42640316,".","-",".","Medtr2g099470","Chitinase (Class IV) / Hevein","cluster3"
"12023","chr2",42829763,42830138,".","+",".","Medtr2g099840","hypothetical protein","cluster3"
"12024","chr2",42830539,42831674,".","+",".","Medtr2g099850","hypothetical protein","cluster3"
"12033","chr2",42873028,42876996,".","-",".","Medtr2g099950","cell-wall invertase","cluster3"
"12066","chr2",43108895,43111086,".","-",".","Medtr2g100350","inorganic pyrophosphatase","cluster3"
"12075","chr2",43162381,43168381,".","+",".","Medtr2g100450","LRR receptor-like kinase plant","cluster3"
"12090","chr2",43246014,43246745,".","-",".","Medtr2g100600","STIG1-like protein","cluster3"
"12195","chr2",44009195,44014615,".","-",".","Medtr2g102243","sulfate/bicarbonate/oxalate exchanger and transporter sat-1","cluster3"
"12225","chr2",44220748,44227634,".","-",".","Medtr2g102660","drug resistance transporter-like ABC domain protein","cluster3"
"12226","chr2",44231525,44238600,".","-",".","Medtr2g102670","drug resistance transporter-like ABC domain protein","cluster3"
"12388","chr2",45306754,45308359,".","+",".","Medtr2g105060","WRKY family transcription factor","cluster3"
"12423","chr2",45555830,45557393,".","-",".","Medtr2g105670","zinc ion-binding protein","cluster3"
"12545","chr3",823583,830510,".","-",".","Medtr3g006730","glycyl-tRNA synthetase/glycine-tRNA ligase","cluster3"
"12546","chr3",831963,836696,".","-",".","Medtr3g006740","glycyl-tRNA synthetase/glycine-tRNA ligase","cluster3"
"12616","chr3",1320139,1324413,".","-",".","Medtr3g008100","phenylcoumaran benzylic ether reductase-like protein","cluster3"
"12627","chr3",1397568,1404300,".","-",".","Medtr3g008270","U-box kinase family protein","cluster3"
"12669","chr3",1716738,1722274,".","-",".","Medtr3g008960","glycoside hydrolase family 5 protein","cluster3"
"12671","chr3",1738002,1744791,".","-",".","Medtr3g009010","glycoside hydrolase family 5 protein","cluster3"
"12672","chr3",1747885,1751893,".","-",".","Medtr3g009020","glycoside hydrolase family 5 protein","cluster3"
"12872","chr3",3307751,3311630,".","-",".","Medtr3g012250","disease resistance protein (CC-NBS-LRR class) family protein","cluster3"
"12881","chr3",3427419,3435308,".","-",".","Medtr3g012420","nodulin MtN21/EamA-like transporter family protein","cluster3"
"13093","chr3",5278220,5283058,".","-",".","Medtr3g019000","disease resistance protein (CC-NBS-LRR class) family protein","cluster3"
"13105","chr3",5351072,5352297,".","+",".","Medtr3g019160","NADPH:quinone oxidoreductase-like protein","cluster3"
"13212","chr3",6277153,6281110,".","-",".","Medtr3g021430","caffeic acid O-methyltransferase","cluster3"
"13217","chr3",6410335,6411580,".","+",".","Medtr3g022000","hypothetical protein","cluster3"
"13226","chr3",6512760,6513515,".","+",".","Medtr3g022210","hypothetical protein","cluster3"
"13228","chr3",6519072,6523865,".","+",".","Medtr3g022230","NB-ARC domain disease resistance protein putative","cluster3"
"13347","chr3",7619578,7624416,".","-",".","Medtr3g024520","flavonoid hydroxylase","cluster3"
"13349","chr3",7659217,7664309,".","+",".","Medtr3g025230","flavonoid hydroxylase","cluster3"
"13420","chr3",8259318,8260783,".","-",".","Medtr3g026820","hypothetical protein","cluster3"
"13509","chr3",9101047,9101784,".","+",".","Medtr3g028540","transmembrane protein putative","cluster3"
"13522","chr3",9212118,9215755,".","+",".","Medtr3g028720","glycoside hydrolase family 1 protein","cluster3"
"13593","chr3",9670728,9674889,".","+",".","Medtr3g030540","polygalacturonase","cluster3"
"13765","chr3",11365771,11366859,".","+",".","Medtr3g434890","heavy metal transport/detoxification superfamily protein","cluster3"
"13767","chr3",11374847,11375549,".","+",".","Medtr3g434920","copper transporter family protein putative","cluster3"
"13770","chr3",11390265,11391414,".","+",".","Medtr3g435000","heavy metal transport/detoxification superfamily protein putative","cluster3"
"13795","chr3",11660035,11661013,".","+",".","Medtr3g435530","transmembrane protein putative","cluster3"
"13833","chr3",12109408,12110688,".","+",".","Medtr3g436100","leginsulin related MtN11/16/17 family","cluster3"
"13838","chr3",12134909,12141145,".","-",".","Medtr3g436160","beta-amyrin synthase","cluster3"
"14089","chr3",14998891,15006882,".","-",".","Medtr3g045770","serine carboxypeptidase-like protein","cluster3"
"14090","chr3",15020791,15021750,".","-",".","Medtr3g045790","DUF4228 domain protein","cluster3"
"14114","chr3",15525838,15527031,".","-",".","Medtr3g046830","hypothetical protein","cluster3"
"14255","chr3",17472787,17474176,".","+",".","Medtr3g450680","2-hydroxyisoflavanone dehydratase","cluster3"
"14286","chr3",17940831,17943912,".","+",".","Medtr3g048440","LRR receptor-like kinase","cluster3"
"14302","chr3",18107682,18109984,".","+",".","Medtr3g048760","LRR receptor-like kinase","cluster3"
"14303","chr3",18115123,18117510,".","+",".","Medtr3g048785","receptor-like protein","cluster3"
"14346","chr3",18713804,18714265,".","-",".","Medtr3g451630","hypothetical protein","cluster3"
"14347","chr3",18721269,18725798,".","-",".","Medtr3g451650","NB-ARC domain disease resistance protein","cluster3"
"14348","chr3",18734279,18735605,".","+",".","Medtr3g451680","transmembrane protein putative","cluster3"
"14351","chr3",18758965,18760575,".","-",".","Medtr3g451730","transmembrane protein putative","cluster3"
"14396","chr3",19391826,19394709,".","+",".","Medtr3g452790","LRR receptor-like kinase","cluster3"
"14407","chr3",19459641,19460415,".","-",".","Medtr3g452960","hypothetical protein","cluster3"
"14433","chr3",19665039,19666628,".","+",".","Medtr3g049970","limonoid UDP-glucosyltransferase-like protein","cluster3"
"14502","chr3",20455089,20458114,".","+",".","Medtr3g051690","transducin family protein/WD-40 repeat protein","cluster3"
"14627","chr3",21488743,21489806,".","+",".","Medtr3g054180","legume lectin beta domain protein","cluster3"
"14628","chr3",21492607,21493374,".","+",".","Medtr3g054200","legume lectin beta domain protein","cluster3"
"14658","chr3",21730236,21730556,".","-",".","Medtr3g055250","Lipid transfer protein","cluster3"
"14697","chr3",21960981,21965863,".","-",".","Medtr3g455790","ankyrin repeat protein","cluster3"
"14735","chr3",22360746,22368944,".","-",".","Medtr3g056200","LRR and NB-ARC domain disease resistance protein","cluster3"
"14763","chr3",22665145,22669845,".","-",".","Medtr3g056645","ABC transporter C family protein","cluster3"
"14781","chr3",22854929,22858976,".","-",".","Medtr3g057800","cytochrome P450 family 71 protein","cluster3"
"14797","chr3",22985915,22987741,".","-",".","Medtr3g058110","cytochrome P450 family 71 protein","cluster3"
"14800","chr3",22998424,23003942,".","-",".","Medtr3g058160","Ent-kaurene synthase","cluster3"
"14814","chr3",23157582,23159265,".","-",".","Medtr3g058410","serine acetyltransferase","cluster3"
"14817","chr3",23202653,23206024,".","-",".","Medtr3g058460","F-box SKIP23-like protein","cluster3"
"14869","chr3",23652185,23658246,".","-",".","Medtr3g060280","cellulose synthase E1-like protein","cluster3"
"14930","chr3",24258468,24261768,".","+",".","Medtr3g061090","BTB/POZ domain plant protein","cluster3"
"14932","chr3",24265088,24269463,".","+",".","Medtr3g061110","subtilisin-like serine protease","cluster3"
"15047","chr3",25114892,25117876,".","+",".","Medtr3g462790","MYB transcription factor MYB51","cluster3"
"15113","chr3",25550944,25555462,".","-",".","Medtr3g463760","non-specific phospholipase C4","cluster3"
"15169","chr3",25963750,25968920,".","-",".","Medtr3g464580","asparagine synthetase [glutamine-hydrolyzing] protein","cluster3"
"15222","chr3",26507442,26512610,".","-",".","Medtr3g465510","transmembrane amino acid transporter family protein","cluster3"
"15282","chr3",26964090,26968677,".","-",".","Medtr3g031220","WRKY transcription factor","cluster3"
"15312","chr3",27201189,27203811,".","+",".","Medtr3g466180","cationic peroxidase","cluster3"
"15340","chr3",27368033,27371231,".","+",".","Medtr3g466580","NB-ARC domain disease resistance protein","cluster3"
"15373","chr3",27660135,27661144,".","+",".","Medtr3g467100","Lipid transfer protein","cluster3"
"15393","chr3",27821302,27823017,".","+",".","Medtr3g467420","glutathione S-transferase amino-terminal domain protein","cluster3"
"15394","chr3",27824358,27826866,".","+",".","Medtr3g467430","glutathione S-transferase amino-terminal domain protein","cluster3"
"15477","chr3",28535383,28538072,".","-",".","Medtr3g063050","transmembrane protein putative","cluster3"
"15543","chr3",28930589,28934163,".","-",".","Medtr3g064290","SWIB/MDM2 domain-containing protein","cluster3"
"15544","chr3",28935080,28939249,".","-",".","Medtr3g064300","zinc ion-binding/DNA-binding protein putative","cluster3"
"15547","chr3",28959653,28961077,".","+",".","Medtr3g064350","hypothetical protein","cluster3"
"15551","chr3",29003098,29005671,".","-",".","Medtr3g064420","long-chain acyl-CoA synthetase","cluster3"
"15589","chr3",29326507,29327683,".","-",".","Medtr3g065000","hypothetical protein","cluster3"
"15590","chr3",29327712,29333850,".","-",".","Medtr3g065010","importin-like protein putative","cluster3"
"15717","chr3",30403842,30405920,".","+",".","Medtr3g067770","kinase 1B","cluster3"
"15761","chr3",30725842,30727183,".","-",".","Medtr3g068095","transcriptional regulator superman protein","cluster3"
"15784","chr3",30907066,30911410,".","+",".","Medtr3g069050","wall-associated receptor kinase-like protein","cluster3"
"15809","chr3",31074530,31085800,".","-",".","Medtr3g069500","peptide/nitrate transporter plant","cluster3"
"15814","chr3",31118242,31121359,".","+",".","Medtr3g069570","hypothetical protein","cluster3"
"15888","chr3",31630253,31631053,".","+",".","Medtr3g070490","early flowering protein","cluster3"
"15935","chr3",32039369,32047589,".","-",".","Medtr3g071440","UDP-glucose pyrophosphorylase","cluster3"
"15948","chr3",32140187,32141300,".","+",".","Medtr3g071590","lateral organ boundaries (LOB) domain protein","cluster3"
"15982","chr3",32358290,32359481,".","-",".","Medtr3g072030","wound-induced-like protein","cluster3"
"16091","chr3",33129592,33135171,".","+",".","Medtr3g073470","serine transhydroxymethyltransferase","cluster3"
"16109","chr3",33266388,33271789,".","-",".","Medtr3g073730","sulfate/bicarbonate/oxalate exchanger and transporter sat-1","cluster3"
"16129","chr3",33432724,33438185,".","+",".","Medtr3g074070","transducin/WD40 repeat protein","cluster3"
"16150","chr3",33607817,33610474,".","+",".","Medtr3g074380","sugar porter (SP) family MFS transporter","cluster3"
"16151","chr3",33615283,33619575,".","+",".","Medtr3g074390","sugar porter (SP) family MFS transporter","cluster3"
"16285","chr3",34587139,34590055,".","-",".","Medtr3g077030","PB1 domain protein","cluster3"
"16341","chr3",35109275,35111574,".","+",".","Medtr3g077940","carbonic anhydrase family protein","cluster3"
"16430","chr3",35735161,35738230,".","-",".","Medtr3g479470","UDP-glucosyltransferase family protein","cluster3"
"16431","chr3",35753836,35760043,".","-",".","Medtr3g479490","UDP-glucosyltransferase family protein","cluster3"
"16655","chr3",37271508,37275432,".","-",".","Medtr3g082630","B-box type zinc finger protein","cluster3"
"16668","chr3",37356453,37359350,".","+",".","Medtr3g082770","nudix family hydrolase","cluster3"
"16669","chr3",37361888,37362301,".","-",".","Medtr3g082780","hypothetical protein","cluster3"
"16687","chr3",37503715,37505830,".","-",".","Medtr3g083130","aldo/keto reductase family oxidoreductase","cluster3"
"16706","chr3",37628015,37630303,".","+",".","Medtr3g083370","1-aminocyclopropane-1-carboxylate oxidase","cluster3"
"16748","chr3",37858368,37860174,".","-",".","Medtr3g083910","chalcone and stilbene synthase family protein","cluster3"
"16749","chr3",37862361,37864013,".","-",".","Medtr3g083920","chalcone and stilbene synthase family protein","cluster3"
"16822","chr3",38403633,38405497,".","+",".","Medtr3g084990","transmembrane protein putative","cluster3"
"16888","chr3",38845146,38848158,".","-",".","Medtr3g085850","glyceraldehyde-3-phosphate dehydrogenase","cluster3"
"16890","chr3",38860868,38862867,".","+",".","Medtr3g085890","NADH-ubiquinone reductase complex 1 MLRQ subunit","cluster3"
"16953","chr3",39280251,39281681,".","-",".","Medtr3g086670","clathrin assembly protein","cluster3"
"16995","chr3",39560915,39561892,".","-",".","Medtr3g087270","hypothetical protein","cluster3"
"16997","chr3",39565221,39567138,".","-",".","Medtr3g087275","C2 domain protein","cluster3"
"16998","chr3",39568320,39569238,".","-",".","Medtr3g087278","C2 domain protein","cluster3"
"17016","chr3",39666854,39668097,".","-",".","Medtr3g087510","PLAT-plant-stress protein","cluster3"
"17025","chr3",39762784,39763981,".","-",".","Medtr3g087770","heavy metal transport/detoxification superfamily protein","cluster3"
"17037","chr3",39839826,39840617,".","+",".","Medtr3g087900","zinc finger C3HC4 type (RING finger) protein","cluster3"
"17110","chr3",40394232,40394711,".","+",".","Medtr3g088655","EF hand calcium-binding family protein","cluster3"
"17116","chr3",40471414,40472105,".","+",".","Medtr3g088705","hypothetical protein","cluster3"
"17138","chr3",40666331,40669639,".","+",".","Medtr3g088855","receptor-like kinase","cluster3"
"17216","chr3",41260591,41262297,".","-",".","Medtr3g090860","WRKY family transcription factor","cluster3"
"17316","chr3",42078943,42084913,".","-",".","Medtr3g092140","aldo/keto reductase family oxidoreductase","cluster3"
"17317","chr3",42086363,42087887,".","-",".","Medtr3g092150","homeobox associated leucine zipper protein","cluster3"
"17328","chr3",42182837,42185284,".","+",".","Medtr3g092330","growth-regulating factor","cluster3"
"17335","chr3",42226655,42226987,".","+",".","Medtr3g092425","hypothetical protein","cluster3"
"17403","chr3",42679904,42680765,".","-",".","Medtr3g093400","response to low sulfur protein putative","cluster3"
"17429","chr3",42832436,42836000,".","+",".","Medtr3g093750","hypothetical protein","cluster3"
"17436","chr3",42869062,42871592,".","+",".","Medtr3g093830","WRKY family transcription factor","cluster3"
"17459","chr3",43024257,43029168,".","+",".","Medtr3g094160","alpha-galactosidase-like protein","cluster3"
"17476","chr3",43179295,43181263,".","+",".","Medtr3g094630","horseradish peroxidase-like protein","cluster3"
"17503","chr3",43385679,43387703,".","-",".","Medtr3g095040","WRKY family transcription factor","cluster3"
"17547","chr3",43731111,43733634,".","-",".","Medtr3g095720","PIF1-like helicase","cluster3"
"17640","chr3",44370629,44372461,".","+",".","Medtr3g096920","NAC-like transcription factor","cluster3"
"17706","chr3",44897062,44902052,".","+",".","Medtr3g098350","respiratory burst oxidase-like protein D","cluster3"
"17724","chr3",45013487,45015421,".","-",".","Medtr3g098580","AP2 domain class transcription factor","cluster3"
"17808","chr3",45608714,45609431,".","-",".","Medtr3g099490","hypothetical protein","cluster3"
"17811","chr3",45634343,45635266,".","-",".","Medtr3g099540","blue copper-like protein","cluster3"
"17882","chr3",46200493,46202085,".","+",".","Medtr3g100470","AT hook motif DNA-binding family protein","cluster3"
"17909","chr3",46463743,46466493,".","-",".","Medtr3g100980","peptide/nitrate transporter","cluster3"
"17932","chr3",46587432,46588034,".","+",".","Medtr3g101260","plastocyanin-like domain protein","cluster3"
"17943","chr3",46676569,46678619,".","+",".","Medtr3g101400","patatin-like phospholipase","cluster3"
"17944","chr3",46680629,46682576,".","+",".","Medtr3g101410","patatin-like phospholipase","cluster3"
"17984","chr3",46950514,46952092,".","-",".","Medtr3g101900","HXXXD-type acyl-transferase family protein","cluster3"
"18007","chr3",47191633,47194410,".","+",".","Medtr3g102400","Serine/Threonine kinase plant-type protein","cluster3"
"18060","chr3",47512716,47517173,".","+",".","Medtr3g103090","interferon-related developmental regulator-like protein","cluster3"
"18062","chr3",47520766,47524210,".","+",".","Medtr3g103110","RING/FYVE/PHD zinc finger protein","cluster3"
"18086","chr3",47711611,47713934,".","-",".","Medtr3g103410","plant/MWF20 protein","cluster3"
"18105","chr3",47893265,47895263,".","+",".","Medtr3g103960","zinc finger CCCH domain protein","cluster3"
"18106","chr3",47903248,47908597,".","+",".","Medtr3g103970","early flowering protein","cluster3"
"18195","chr3",48513766,48514920,".","-",".","Medtr3g105210","hypothetical protein","cluster3"
"18223","chr3",48693709,48698381,".","+",".","Medtr3g105590","histidine kinase cytokinin receptor","cluster3"
"18226","chr3",48710293,48715609,".","-",".","Medtr3g105610","glutamate receptor 3.2","cluster3"
"18254","chr3",48870681,48875085,".","+",".","Medtr3g105980","phospholipase D Y","cluster3"
"18343","chr3",49581018,49581905,".","-",".","Medtr3g107500","rare lipoprotein A-like double-psi beta-barrel protein","cluster3"
"18374","chr3",49768124,49775604,".","+",".","Medtr3g107870","drug resistance transporter-like ABC domain protein","cluster3"
"18472","chr3",50448988,50451928,".","-",".","Medtr3g109120","kinase C-like zinc finger protein","cluster3"
"18482","chr3",50521343,50526152,".","+",".","Medtr3g109280","plant/F12B17-70 protein","cluster3"
"18498","chr3",50613033,50613920,".","-",".","Medtr3g109430","hypothetical protein","cluster3"
"18581","chr3",51196407,51201204,".","-",".","Medtr3g110195","retinal pigment epithelial membrane protein","cluster3"
"18618","chr3",51479067,51483333,".","-",".","Medtr3g110320","glycoside hydrolase family 18 protein","cluster3"
"18625","chr3",51550858,51554388,".","+",".","Medtr3g110450","leucine-rich receptor-like kinase family protein","cluster3"
"18629","chr3",51577895,51579779,".","-",".","Medtr3g110390","early nodulin 93","cluster3"
"18654","chr3",51819741,51823575,".","-",".","Medtr3g110860","LRR receptor-like kinase","cluster3"
"18681","chr3",52035983,52036650,".","-",".","Medtr3g111360","hypothetical protein","cluster3"
"18700","chr3",52179692,52180991,".","+",".","Medtr3g111610","GNS1/SUR4 membrane family protein","cluster3"
"18715","chr3",52315652,52317147,".","+",".","Medtr3g111820","hypothetical protein","cluster3"
"18745","chr3",52508362,52513323,".","-",".","Medtr3g112170","BHLH transcription factor-like protein","cluster3"
"18750","chr3",52551663,52552541,".","+",".","Medtr3g112220","BZIP transcription factor","cluster3"
"18889","chr3",53635908,53637652,".","-",".","Medtr3g114870","lysine/ornithine decarboxylase","cluster3"
"19092","chr3",55176986,55180002,".","-",".","Medtr3g117850","adenine nucleotide alpha hydrolase-like domain kinase","cluster3"
"19126","chr3",55409738,55410190,".","+",".","Medtr3g118380","hypothetical protein","cluster3"
"19127","chr3",55413457,55415176,".","+",".","Medtr3g118390","Chitinase (Class I) / Hevein","cluster3"
"19491","chr4",2579670,2580180,".","-",".","Medtr4g011030","DUF761 domain protein","cluster3"
"19594","chr4",3444460,3447359,".","+",".","Medtr4g012850","carnitine/acylcarnitine carrier CACL-like protein","cluster3"
"19647","chr4",3844555,3845568,".","-",".","Medtr4g013385","disease resistance response protein","cluster3"
"19660","chr4",3925507,3927338,".","+",".","Medtr4g014140","disease resistance protein (TIR-NBS-LRR class)","cluster3"
"19662","chr4",3932753,3935911,".","+",".","Medtr4g014160","LRR and NB-ARC domain disease resistance protein","cluster3"
"19666","chr4",3961105,3966518,".","+",".","Medtr4g014240","disease resistance protein (TIR-NBS-LRR class)","cluster3"
"19733","chr4",4408980,4410894,".","+",".","Medtr4g015180","anthocyanin 5-aromatic acyltransferase","cluster3"
"19738","chr4",4446613,4452674,".","-",".","Medtr4g015260","group 1 family glycosyltransferase","cluster3"
"19746","chr4",4530956,4538633,".","+",".","Medtr4g415390","auxin influx transporter","cluster3"
"19832","chr4",5278103,5279264,".","-",".","Medtr4g017030","germin family protein","cluster3"
"19866","chr4",5520592,5521077,".","+",".","Medtr4g017620","phloem filament protein PP1","cluster3"
"19873","chr4",5562835,5565741,".","-",".","Medtr4g017710","verticillium wilt resistance-like protein","cluster3"
"19909","chr4",5822408,5823569,".","-",".","Medtr4g018850","PAR1 protein","cluster3"
"19910","chr4",5828279,5829710,".","+",".","Medtr4g018860","PAR1 protein","cluster3"
"19944","chr4",6021969,6027894,".","+",".","Medtr4g019225","laccase/diphenol oxidase family protein","cluster3"
"19963","chr4",6185593,6186199,".","+",".","Medtr4g019640","hypothetical protein","cluster3"
"20217","chr4",8243459,8249190,".","-",".","Medtr4g024370","DUF1442 family protein","cluster3"
"20280","chr4",8764070,8767985,".","+",".","Medtr4g025730","pectinesterase/pectinesterase inhibitor","cluster3"
"20293","chr4",8952646,8955502,".","+",".","Medtr4g026030","cytochrome P450 family 71 protein","cluster3"
"20329","chr4",9230791,9239736,".","+",".","Medtr4g026780","MSP (major sperm protein) domain protein","cluster3"
"20340","chr4",9303205,9306240,".","+",".","Medtr4g027040","NF-X1-type zinc finger protein NFXL1","cluster3"
"20365","chr4",9462674,9466238,".","-",".","Medtr4g027390","phosphorus starvation-induced protein","cluster3"
"20442","chr4",10060025,10062325,".","-",".","Medtr4g029170","peroxidase family protein","cluster3"
"20443","chr4",10065888,10068147,".","-",".","Medtr4g029180","peroxidase family protein","cluster3"
"20446","chr4",10098631,10099070,".","+",".","Medtr4g029210","Lipid transfer protein","cluster3"
"20457","chr4",10170282,10171673,".","+",".","Medtr4g029430","tubby C 2 protein","cluster3"
"20482","chr4",10399532,10405397,".","+",".","Medtr4g030210","organic cation/carnitine transporter","cluster3"
"20506","chr4",10583919,10586622,".","-",".","Medtr4g031140","gaiacol peroxidase","cluster3"
"20588","chr4",11261721,11269691,".","+",".","Medtr4g032670","SNARE associated family protein","cluster3"
"20598","chr4",11348090,11349912,".","-",".","Medtr4g032815","potato type II proteinase inhibitor family protein","cluster3"
"20600","chr4",11362693,11363448,".","-",".","Medtr4g032865","potato type II proteinase inhibitor family protein","cluster3"
"20741","chr4",12710398,12711290,".","-",".","Medtr4g035905","plant invertase/pectin methylesterase inhibitor","cluster3"
"20776","chr4",13099190,13099714,".","+",".","Medtr4g036385","GDSL-like lipase/acylhydrolase","cluster3"
"20828","chr4",13598254,13599035,".","-",".","Medtr4g037005","RALF-like protein","cluster3"
"20831","chr4",13618884,13620423,".","-",".","Medtr4g037055","hypothetical protein","cluster3"
"20833","chr4",13636200,13641813,".","+",".","Medtr4g037105","purple acid phosphatase superfamily protein","cluster3"
"21054","chr4",16320018,16321173,".","+",".","Medtr4g038400","ribosomal protein S12/S23 family protein","cluster3"
"21222","chr4",18053603,18054611,".","-",".","Medtr4g050840","cytochrome b6-F complex subunit 5","cluster3"
"21286","chr4",18426005,18427533,".","-",".","Medtr4g051515","E3 ubiquitin-protein ligase PUB23-like protein","cluster3"
"21302","chr4",18587692,18590512,".","-",".","Medtr4g051622","pyridine nucleotide-disulfide oxidoreductase family protein","cluster3"
"21487","chr4",20053603,20055293,".","+",".","Medtr4g055130","transmembrane protein putative","cluster3"
"21500","chr4",20189425,20190557,".","+",".","Medtr4g055420","hypothetical protein","cluster3"
"21655","chr4",21488258,21495500,".","+",".","Medtr4g058000","ABC transporter G family-like protein","cluster3"
"21673","chr4",21623654,21628976,".","+",".","Medtr4g058740","lysine decarboxylase family protein","cluster3"
"21806","chr4",22656506,22657235,".","+",".","Medtr4g061300","hypothetical protein","cluster3"
"22023","chr4",24311869,24314356,".","+",".","Medtr4g064987","UDP-glucosyltransferase family protein","cluster3"
"22040","chr4",24442980,24445130,".","-",".","Medtr4g065073","DUF688 family protein","cluster3"
"22048","chr4",24481165,24482862,".","-",".","Medtr4g065113","extensin-like region protein","cluster3"
"22100","chr4",24877856,24885444,".","-",".","Medtr4g066020","transcription factor jumonji (JmjC) domain protein","cluster3"
"22113","chr4",24984112,24988288,".","-",".","Medtr4g066210","cyanogenic beta-glucosidase putative","cluster3"
"22114","chr4",24998664,25002830,".","+",".","Medtr4g066240","cyanogenic beta-glucosidase putative","cluster3"
"22129","chr4",25167113,25169600,".","-",".","Medtr4g066590","glycoside hydrolase family 1 protein","cluster3"
"22131","chr4",25178813,25181339,".","-",".","Medtr4g066630","glycoside hydrolase family 1 protein","cluster3"
"22139","chr4",25251631,25254180,".","+",".","Medtr4g067040","glycoside hydrolase family 1 protein","cluster3"
"22204","chr4",25681228,25681887,".","+",".","Medtr4g068560","hypothetical protein","cluster3"
"22205","chr4",25697964,25698625,".","+",".","Medtr4g068453","hypothetical protein","cluster3"
